cnpj_basico;nome_fantasia;situacao_cadastral;data_inicio_atividade;cnae_fiscal_principal;capital_social;uf;municipio;arrecadacao_media_setor;capital_medio_setor;feature_desvio_capital;feature_idade_anos
66882282;Empresa Comercial 2;2;2010-01-03;4711302;314577.2838199928;RJ;Rio de Janeiro;500000;2000000;0.1572886419099964;16.449007529089666
31081788;Empresa Comercial 3;2;2010-01-04;5611201;208644.877899692;RJ;Rio de Janeiro;45000;90000;2.3182764211076887;16.44626967830253
23315092;Empresa Comercial 4;2;2010-01-05;4781400;166556.57140455357;RJ;Duque de Caxias;80000;150000;1.1103771426970237;16.4435318275154
41632483;Empresa Comercial 7;2;2010-01-08;4781400;587739.7209760059;RJ;Niterói;80000;150000;3.918264806506706;16.435318275154003
86737383;Empresa Comercial 8;2;2010-01-09;4781400;244359.52541276868;RJ;Rio de Janeiro;80000;150000;1.6290635027517912;16.432580424366872
98358551;Empresa Comercial 9;2;2010-01-10;4711302;58882.98905001881;RJ;Duque de Caxias;500000;2000000;0.029441494525009406;16.42984257357974
86893497;Empresa Comercial 16;2;2010-01-18;4781400;197431.8581566559;RJ;Niterói;80000;150000;1.3162123877110392;16.407939767282684
40349564;Empresa Comercial 17;2;2010-01-19;4781400;51696.21886036176;RJ;Duque de Caxias;80000;150000;0.3446414590690784;16.40520191649555
87751354;Empresa Comercial 19;2;2010-01-21;4781400;819219.8885408889;RJ;Rio de Janeiro;80000;150000;5.461465923605926;16.399726214921287
72250665;Empresa Comercial 20;2;2010-01-22;4711302;16957.134007964796;RJ;Rio de Janeiro;500000;2000000;0.008478567003982399;16.396988364134156
76209791;Empresa Comercial 21;2;2010-01-24;5611201;101093.20755121492;RJ;Rio de Janeiro;45000;90000;1.1232578616801658;16.39151266255989
56792155;Empresa Comercial 22;2;2010-01-25;4711302;247970.6381491128;RJ;Niterói;500000;2000000;0.1239853190745564;16.38877481177276
31498555;Empresa Comercial 23;2;2010-01-26;5611201;238349.6682149902;RJ;Rio de Janeiro;45000;90000;2.6483296468332247;16.386036960985628
70221198;Empresa Comercial 24;2;2010-01-27;4711302;219065.6773133915;RJ;Niterói;500000;2000000;0.10953283865669575;16.383299110198493
89757501;Empresa Comercial 25;2;2010-01-28;5611201;69385.67853944813;RJ;Duque de Caxias;45000;90000;0.7709519837716459;16.380561259411362
26861870;Empresa Comercial 26;2;2010-01-29;4711302;95730.1365298713;RJ;Niterói;500000;2000000;0.047865068264935653;16.37782340862423
62286002;Empresa Comercial 27;2;2010-01-30;5611201;140568.5127359792;RJ;Rio de Janeiro;45000;90000;1.5618723637331022;16.3750855578371
71136438;Empresa Comercial 29;2;2010-02-01;4781400;64523.51920025749;RJ;Niterói;80000;150000;0.4301567946683833;16.369609856262834
72194931;Empresa Comercial 30;2;2010-02-02;4711302;389873.0415381447;RJ;Niterói;500000;2000000;0.19493652076907234;16.366872005475702
75285250;Empresa Comercial 31;2;2010-02-03;4781400;52074.529795250266;RJ;Rio de Janeiro;80000;150000;0.3471635319683351;16.36413415468857
79537252;Empresa Comercial 32;2;2010-02-05;4711302;682497.8918458003;RJ;Niterói;500000;2000000;0.34124894592290017;16.358658453114305
69248434;Empresa Comercial 33;2;2010-02-06;4781400;171419.299238858;RJ;Rio de Janeiro;80000;150000;1.1427953282590533;16.355920602327174
20959014;Empresa Comercial 36;2;2010-02-09;4781400;52727.61873437645;RJ;Niterói;80000;150000;0.3515174582291763;16.347707049965777
66972561;Empresa Comercial 37;2;2010-02-10;5611201;53066.71489878589;RJ;Rio de Janeiro;45000;90000;0.5896301655420655;16.344969199178646
58900483;Empresa Comercial 38;2;2010-02-11;4781400;23080.35238084565;RJ;Rio de Janeiro;80000;150000;0.1538690158723043;16.34223134839151
54738553;Empresa Comercial 41;2;2010-02-14;4781400;220862.828868889;RJ;Rio de Janeiro;80000;150000;1.4724188591259266;16.334017796030118
78574553;Empresa Comercial 42;2;2010-02-16;5611201;145462.98347764846;RJ;Niterói;45000;90000;1.616255371973872;16.32854209445585
21392366;Empresa Comercial 45;2;2010-02-19;4711302;142957.3486576656;RJ;Rio de Janeiro;500000;2000000;0.0714786743288328;16.320328542094455
98883975;Empresa Comercial 47;2;2010-02-21;5611201;171383.72074604567;RJ;Duque de Caxias;45000;90000;1.9042635638449519;16.314852840520192
23479854;Empresa Comercial 48;2;2010-02-22;4711302;33887.58066775589;RJ;Rio de Janeiro;500000;2000000;0.016943790333877943;16.31211498973306
23187277;Empresa Comercial 50;2;2010-02-24;5611201;161830.80993442715;RJ;Niterói;45000;90000;1.798120110382524;16.306639288158795
47709731;Empresa Comercial 52;2;2010-02-26;4711302;7253.380936806854;RJ;Niterói;500000;2000000;0.0036266904684034273;16.301163586584533
36939239;Empresa Comercial 53;2;2010-02-28;4711302;25786.41446851911;RJ;Rio de Janeiro;500000;2000000;0.012893207234259555;16.295687885010267
33027075;Empresa Comercial 54;2;2010-03-01;4711302;48485.56780347098;RJ;Niterói;500000;2000000;0.02424278390173549;16.292950034223136
91200125;Empresa Comercial 55;2;2010-03-02;4711302;89199.23292063746;RJ;Duque de Caxias;500000;2000000;0.04459961646031873;16.290212183436
96191493;Empresa Comercial 56;2;2010-03-03;4711302;105250.76389293958;RJ;Niterói;500000;2000000;0.05262538194646979;16.28747433264887
76401385;Empresa Comercial 58;2;2010-03-05;4711302;172848.99729490725;RJ;Niterói;500000;2000000;0.08642449864745362;16.281998631074607
10271836;Empresa Comercial 60;2;2010-03-07;5611201;57319.64321673328;RJ;Niterói;45000;90000;0.6368849246303698;16.27652292950034
62631083;Empresa Comercial 62;2;2010-03-09;5611201;17124.238665495282;RJ;Niterói;45000;90000;0.19026931850550313;16.27104722792608
18585377;Empresa Comercial 63;2;2010-03-11;5611201;79561.77635305817;RJ;Duque de Caxias;45000;90000;0.8840197372562019;16.265571526351813
96544585;Empresa Comercial 64;2;2010-03-12;5611201;30080.84030966433;RJ;Duque de Caxias;45000;90000;0.33423155899627033;16.262833675564682
95157821;Empresa Comercial 65;2;2010-03-13;4781400;75937.8868044976;RJ;Niterói;80000;150000;0.5062525786966506;16.26009582477755
97655395;Empresa Comercial 66;2;2010-03-14;4781400;153402.86263488836;RJ;Duque de Caxias;80000;150000;1.0226857508992557;16.257357973990416
27824013;Empresa Comercial 67;2;2010-03-15;5611201;123858.11213803802;RJ;Duque de Caxias;45000;90000;1.3762012459782003;16.254620123203285
44119117;Empresa Comercial 71;2;2010-03-19;4711302;300835.83884660475;RJ;Duque de Caxias;500000;2000000;0.15041791942330238;16.243668720054757
70031992;Empresa Comercial 74;2;2010-03-23;4781400;72481.45191992004;RJ;Rio de Janeiro;80000;150000;0.48320967946613363;16.23271731690623
65105831;Empresa Comercial 75;2;2010-03-24;5611201;73131.65530766087;RJ;Duque de Caxias;45000;90000;0.8125739478628985;16.229979466119097
13366612;Empresa Comercial 76;2;2010-03-25;4781400;322312.9309282649;RJ;Duque de Caxias;80000;150000;2.1487528728550993;16.227241615331966
68743503;Empresa Comercial 77;2;2010-03-26;4781400;11005.154473828596;RJ;Rio de Janeiro;80000;150000;0.07336769649219063;16.22450376454483
46258670;Empresa Comercial 78;2;2010-03-27;4781400;668210.50636469;RJ;Niterói;80000;150000;4.454736709097934;16.2217659137577
79739572;Empresa Comercial 79;2;2010-03-28;4711302;168764.30567877353;RJ;Niterói;500000;2000000;0.08438215283938676;16.21902806297057
67055419;Empresa Comercial 81;2;2010-03-30;4711302;10810.78702924834;RJ;Niterói;500000;2000000;0.00540539351462417;16.213552361396303
59160571;Empresa Comercial 82;2;2010-03-31;5611201;144531.55235482487;RJ;Niterói;45000;90000;1.6059061372758319;16.210814510609172
48727468;Empresa Comercial 86;2;2010-04-05;4781400;336520.6549861156;RJ;Rio de Janeiro;80000;150000;2.2434710332407706;16.197125256673512
61757120;Empresa Comercial 87;2;2010-04-06;5611201;124772.29310435;RJ;Rio de Janeiro;45000;90000;1.3863588122705555;16.194387405886378
77157848;Empresa Comercial 88;2;2010-04-07;5611201;85016.05687794465;RJ;Rio de Janeiro;45000;90000;0.944622854199385;16.191649555099247
87897542;Empresa Comercial 89;2;2010-04-08;4711302;16318.834733898771;RJ;Rio de Janeiro;500000;2000000;0.008159417366949386;16.188911704312115
83665032;Empresa Comercial 90;2;2010-04-09;5611201;192828.2719180808;RJ;Duque de Caxias;45000;90000;2.142536354645342;16.186173853524984
95390464;Empresa Comercial 91;2;2010-04-10;4781400;187028.14822265555;RJ;Niterói;80000;150000;1.2468543214843704;16.18343600273785
62562567;Empresa Comercial 93;2;2010-04-12;4711302;112082.90664182397;RJ;Duque de Caxias;500000;2000000;0.05604145332091198;16.177960301163587
33717335;Empresa Comercial 94;2;2010-04-14;4781400;90317.05377209387;RJ;Rio de Janeiro;80000;150000;0.6021136918139591;16.17248459958932
70472382;Empresa Comercial 95;2;2010-04-15;4781400;139941.25874065675;RJ;Duque de Caxias;80000;150000;0.9329417249377117;16.16974674880219
58715250;Empresa Comercial 97;2;2010-04-17;5611201;430192.7632603557;RJ;Duque de Caxias;45000;90000;4.77991959178173;16.164271047227928
93139152;Empresa Comercial 98;2;2010-04-18;4781400;138299.33906103473;RJ;Duque de Caxias;80000;150000;0.9219955937402315;16.161533196440793
54054178;Empresa Comercial 99;2;2010-04-19;4711302;60919.00349610605;RJ;Niterói;500000;2000000;0.030459501748053026;16.15879534565366
48334882;Empresa Comercial 100;2;2010-04-20;4781400;94588.26212062532;RJ;Niterói;80000;150000;0.6305884141375021;16.15605749486653
62441466;Empresa Comercial 101;2;2010-04-21;4711302;250741.0458310952;RJ;Duque de Caxias;500000;2000000;0.1253705229155476;16.1533196440794
59583876;Empresa Comercial 102;2;2010-04-22;4711302;31441.868300638645;RJ;Rio de Janeiro;500000;2000000;0.015720934150319322;16.150581793292265
96117865;Empresa Comercial 103;2;2010-04-23;5611201;56973.82100799575;RJ;Rio de Janeiro;45000;90000;0.6330424556443972;16.147843942505133
47407771;Empresa Comercial 105;2;2010-04-26;5611201;61857.62988617978;RJ;Rio de Janeiro;45000;90000;0.6873069987353309;16.139630390143736
37009224;Empresa Comercial 107;2;2010-04-28;4781400;25967.51792907087;RJ;Duque de Caxias;80000;150000;0.1731167861938058;16.134154688569474
61327755;Empresa Comercial 108;2;2010-04-29;4781400;220755.77577453767;RJ;Duque de Caxias;80000;150000;1.4717051718302512;16.13141683778234
89018913;Empresa Comercial 109;2;2010-04-30;4781400;15619.986795509443;RJ;Rio de Janeiro;80000;150000;0.1041332453033963;16.128678986995208
17130144;Empresa Comercial 110;2;2010-05-01;4781400;6900.88573770318;RJ;Niterói;80000;150000;0.0460059049180212;16.125941136208077
14545583;Empresa Comercial 111;2;2010-05-02;4711302;347746.4347014034;RJ;Rio de Janeiro;500000;2000000;0.17387321735070171;16.123203285420946
64079037;Empresa Comercial 112;2;2010-05-03;4711302;135604.14108546375;RJ;Rio de Janeiro;500000;2000000;0.06780207054273188;16.12046543463381
