cnpj_basico;nome_fantasia;situacao_cadastral;data_inicio_atividade;cnae_fiscal_principal;capital_social;uf;municipio
66882282;Empresa Comercial 2;2;2010-01-03;4711302;314577.2838199928;RJ;Rio de Janeiro
31081788;Empresa Comercial 3;2;2010-01-04;5611201;208644.877899692;RJ;Rio de Janeiro
23315092;Empresa Comercial 4;2;2010-01-05;4781400;166556.57140455357;RJ;Duque de Caxias
41632483;Empresa Comercial 7;2;2010-01-08;4781400;587739.7209760059;RJ;Niterói
86737383;Empresa Comercial 8;2;2010-01-09;4781400;244359.52541276868;RJ;Rio de Janeiro
98358551;Empresa Comercial 9;2;2010-01-10;4711302;58882.98905001881;RJ;Duque de Caxias
86893497;Empresa Comercial 16;2;2010-01-18;4781400;197431.8581566559;RJ;Niterói
40349564;Empresa Comercial 17;2;2010-01-19;4781400;51696.21886036176;RJ;Duque de Caxias
87751354;Empresa Comercial 19;2;2010-01-21;4781400;819219.8885408889;RJ;Rio de Janeiro
72250665;Empresa Comercial 20;2;2010-01-22;4711302;16957.134007964796;RJ;Rio de Janeiro
76209791;Empresa Comercial 21;2;2010-01-24;5611201;101093.20755121492;RJ;Rio de Janeiro
56792155;Empresa Comercial 22;2;2010-01-25;4711302;247970.6381491128;RJ;Niterói
31498555;Empresa Comercial 23;2;2010-01-26;5611201;238349.6682149902;RJ;Rio de Janeiro
70221198;Empresa Comercial 24;2;2010-01-27;4711302;219065.6773133915;RJ;Niterói
89757501;Empresa Comercial 25;2;2010-01-28;5611201;69385.67853944813;RJ;Duque de Caxias
26861870;Empresa Comercial 26;2;2010-01-29;4711302;95730.1365298713;RJ;Niterói
62286002;Empresa Comercial 27;2;2010-01-30;5611201;140568.5127359792;RJ;Rio de Janeiro
71136438;Empresa Comercial 29;2;2010-02-01;4781400;64523.51920025749;RJ;Niterói
72194931;Empresa Comercial 30;2;2010-02-02;4711302;389873.0415381447;RJ;Niterói
75285250;Empresa Comercial 31;2;2010-02-03;4781400;52074.529795250266;RJ;Rio de Janeiro
79537252;Empresa Comercial 32;2;2010-02-05;4711302;682497.8918458003;RJ;Niterói
69248434;Empresa Comercial 33;2;2010-02-06;4781400;171419.299238858;RJ;Rio de Janeiro
20959014;Empresa Comercial 36;2;2010-02-09;4781400;52727.61873437645;RJ;Niterói
66972561;Empresa Comercial 37;2;2010-02-10;5611201;53066.71489878589;RJ;Rio de Janeiro
58900483;Empresa Comercial 38;2;2010-02-11;4781400;23080.35238084565;RJ;Rio de Janeiro
54738553;Empresa Comercial 41;2;2010-02-14;4781400;220862.828868889;RJ;Rio de Janeiro
78574553;Empresa Comercial 42;2;2010-02-16;5611201;145462.98347764846;RJ;Niterói
21392366;Empresa Comercial 45;2;2010-02-19;4711302;142957.3486576656;RJ;Rio de Janeiro
98883975;Empresa Comercial 47;2;2010-02-21;5611201;171383.72074604567;RJ;Duque de Caxias
23479854;Empresa Comercial 48;2;2010-02-22;4711302;33887.58066775589;RJ;Rio de Janeiro
23187277;Empresa Comercial 50;2;2010-02-24;5611201;161830.80993442715;RJ;Niterói
47709731;Empresa Comercial 52;2;2010-02-26;4711302;7253.380936806854;RJ;Niterói
36939239;Empresa Comercial 53;2;2010-02-28;4711302;25786.41446851911;RJ;Rio de Janeiro
