cnpj_basico;nome_fantasia;situacao_cadastral;data_inicio_atividade;cnae_fiscal_principal;capital_social;uf;municipio;arrecadacao_media_setor;capital_medio_setor;feature_desvio_capital;feature_idade_anos;score_risco_fiscal;classificacao_risco
66348502;Empresa Comercial 2382;2;2017-02-23;4781400;27445466.9137648;RJ;Niterói;80000;150000;182.96977942509864;9.308692676249144;100.0;Alto
26413806;Empresa Comercial 2520;2;2017-07-24;5611201;16486122.270108296;RJ;Niterói;45000;90000;183.17913633453665;8.895277207392198;99.87815737486622;Alto
50670787;Empresa Comercial 2118;2;2016-05-09;5611201;15748610.540710611;RJ;Niterói;45000;90000;174.98456156345122;10.102669404517451;99.39161040885045;Alto
28664179;Empresa Comercial 3637;2;2020-11-29;5611201;19449973.26148692;RJ;Rio de Janeiro;45000;90000;216.11081401652132;5.544147843942505;99.14883026714455;Alto
30353727;Empresa Comercial 1587;2;2014-10-06;5611201;14168317.97089018;RJ;Rio de Janeiro;45000;90000;157.4257552321131;11.693360711841205;99.02756333702814;Alto
22132693;Empresa Comercial 2147;2;2016-06-10;5611201;14543120.2987842;RJ;Duque de Caxias;45000;90000;161.59022554204668;10.015058179329229;98.07826292474017;Alto
91036161;Empresa Comercial 4459;2;2023-05-19;4781400;22251285.50706924;RJ;Duque de Caxias;80000;150000;148.34190338046162;3.077344284736482;97.47636345461486;Alto
22433196;Empresa Comercial 813;2;2012-06-09;5611201;11824201.143661844;RJ;Duque de Caxias;45000;90000;131.3800127073538;14.017796030116358;97.43361747647566;Alto
97173138;Empresa Comercial 2595;2;2017-10-14;4781400;13513262.009932922;RJ;Niterói;80000;150000;90.08841339955282;8.670773442847365;95.19002688470788;Alto
56433552;Empresa Comercial 3752;2;2021-04-04;5611201;11388212.970843423;RJ;Rio de Janeiro;45000;90000;126.53569967603804;5.19917864476386;94.95292836585487;Alto
26816569;Empresa Comercial 191;2;2010-07-29;4781400;11079827.304783922;RJ;Rio de Janeiro;80000;150000;73.86551536522614;15.88227241615332;94.47969274934496;Alto
44958762;Empresa Comercial 492;2;2011-06-24;4781400;11113297.914832417;RJ;Rio de Janeiro;80000;150000;74.08865276554944;14.978781656399724;94.36158382532399;Alto
98720437;Empresa Comercial 740;2;2012-03-21;5611201;8266924.379909421;RJ;Rio de Janeiro;45000;90000;91.8547153323269;14.236824093086929;93.98330090351335;Alto
58968538;Empresa Comercial 3125;2;2019-05-18;4781400;15315498.692447037;RJ;Rio de Janeiro;80000;150000;102.10332461631356;7.080082135523614;93.87307259573147;Alto
51478073;Empresa Comercial 1783;2;2015-05-08;5611201;8615717.819489243;RJ;Rio de Janeiro;45000;90000;95.73019799432493;11.107460643394935;93.77223638298331;Alto
75825272;Empresa Comercial 3942;2;2021-10-29;4781400;12700607.283289734;RJ;Duque de Caxias;80000;150000;84.67071522193156;4.629705681040384;93.06764612694846;Alto
96755840;Empresa Comercial 950;2;2012-11-07;5611201;8011301.2562045725;RJ;Duque de Caxias;45000;90000;89.01445840227302;13.604380561259411;92.59950583712356;Alto
99020624;Empresa Comercial 3498;2;2020-06-30;5611201;8349601.72609342;RJ;Duque de Caxias;45000;90000;92.7733525121491;5.960301163586585;92.24923111830577;Alto
67315945;Empresa Comercial 2660;2;2017-12-24;4781400;11334525.395829266;RJ;Niterói;80000;150000;75.56350263886178;8.476386036960985;92.13263078369762;Alto
33877268;Empresa Comercial 4629;2;2023-11-21;4781400;10226005.623646578;RJ;Rio de Janeiro;80000;150000;68.17337082431052;2.568104038329911;91.06274483787182;Alto
46216069;Empresa Comercial 3050;2;2019-02-25;4711302;56666616.07084678;RJ;Duque de Caxias;500000;2000000;28.33330803542339;7.304585900068446;90.16244779700374;Alto
54969434;Empresa Comercial 3225;2;2019-09-05;4781400;11699805.564270938;RJ;Duque de Caxias;80000;150000;77.99870376180625;6.778918548939083;90.1459353699261;Alto
17446153;Empresa Comercial 4152;2;2022-06-16;4781400;8623543.156147912;RJ;Rio de Janeiro;80000;150000;57.49028770765275;4.0;88.44277045671431;Alto
91447632;Empresa Comercial 1218;2;2013-08-27;4781400;7836608.351610451;RJ;Duque de Caxias;80000;150000;52.24405567740301;12.802190280629706;87.73621281716537;Alto
32791342;Empresa Comercial 1923;2;2015-10-09;4711302;25476813.74865073;RJ;Niterói;500000;2000000;12.738406874325364;10.685831622176591;87.06169628775464;Alto
55214597;Empresa Comercial 4561;2;2023-09-08;5611201;6496973.4988133535;RJ;Rio de Janeiro;45000;90000;72.18859443125949;2.7707049965776864;87.05339917928644;Alto
76994946;Empresa Comercial 3159;2;2019-06-24;4781400;7937418.44943305;RJ;Duque de Caxias;80000;150000;52.91612299622033;6.978781656399726;86.61141337222517;Alto
