cnpj_basico;nome_fantasia;situacao_cadastral;data_inicio_atividade;cnae_fiscal_principal;capital_social;uf;municipio
75682867;Empresa Comercial 0;2;2010-01-01;4781400;35963.433440700006;MG;Duque de Caxias
66755036;Empresa Comercial 1;2;2010-01-02;5611201;34258.02817224265;SP;Niterói
66882282;Empresa Comercial 2;2;2010-01-03;4711302;314577.2838199928;RJ;Rio de Janeiro
31081788;Empresa Comercial 3;2;2010-01-04;5611201;208644.87789969196;RJ;Rio de Janeiro
23315092;Empresa Comercial 4;2;2010-01-05;4781400;166556.57140455357;RJ;Duque de Caxias
45788921;Empresa Comercial 5;2;2010-01-06;4711302;83349.76178877795;SP;Rio de Janeiro
36735830;Empresa Comercial 6;2;2010-01-07;5611201;50566.75162941451;SP;Niterói
41632483;Empresa Comercial 7;2;2010-01-08;4781400;587739.7209760059;RJ;Niterói
86737383;Empresa Comercial 8;2;2010-01-09;4781400;244359.52541276868;RJ;Rio de Janeiro
98358551;Empresa Comercial 9;2;2010-01-10;4711302;58882.98905001881;RJ;Duque de Caxias
98409749;Empresa Comercial 10;2;2010-01-11;5611201;287152.35002855293;SP;Duque de Caxias
14981505;Empresa Comercial 11;2;2010-01-13;4711302;218401.40216858024;SP;Duque de Caxias
23953367;Empresa Comercial 12;2;2010-01-14;4711302;57876.94608988753;MG;Duque de Caxias
95652971;Empresa Comercial 13;2;2010-01-15;5611201;88413.4261249412;SP;Duque de Caxias
14521373;Empresa Comercial 14;2;2010-01-16;5611201;35860.658333105486;SP;Niterói
13344769;Empresa Comercial 15;2;2010-01-17;5611201;22657.555663949835;SP;Rio de Janeiro
86893497;Empresa Comercial 16;2;2010-01-18;4781400;197431.8581566559;RJ;Niterói
40349564;Empresa Comercial 17;2;2010-01-19;4781400;51696.218860361754;RJ;Duque de Caxias
52860080;Empresa Comercial 18;2;2010-01-20;5611201;262269.24382887746;MG;Duque de Caxias
87751354;Empresa Comercial 19;2;2010-01-21;4781400;819219.8885408889;RJ;Rio de Janeiro
72250665;Empresa Comercial 20;2;2010-01-22;4711302;16957.134007964796;RJ;Rio de Janeiro
76209791;Empresa Comercial 21;2;2010-01-24;5611201;101093.20755121493;RJ;Rio de Janeiro
56792155;Empresa Comercial 22;2;2010-01-25;4711302;247970.63814911278;RJ;Niterói
31498555;Empresa Comercial 23;2;2010-01-26;5611201;238349.6682149902;RJ;Rio de Janeiro
70221198;Empresa Comercial 24;2;2010-01-27;4711302;219065.6773133915;RJ;Niterói
89757501;Empresa Comercial 25;2;2010-01-28;5611201;69385.67853944813;RJ;Duque de Caxias
26861870;Empresa Comercial 26;2;2010-01-29;4711302;95730.1365298713;RJ;Niterói
62286002;Empresa Comercial 27;2;2010-01-30;5611201;140568.5127359792;RJ;Rio de Janeiro
42049003;Empresa Comercial 28;2;2010-01-31;5611201;552106.4151476396;SP;Niterói
71136438;Empresa Comercial 29;2;2010-02-01;4781400;64523.51920025749;RJ;Niterói
72194931;Empresa Comercial 30;2;2010-02-02;4711302;389873.0415381447;RJ;Niterói
75285250;Empresa Comercial 31;2;2010-02-03;4781400;52074.529795250266;RJ;Rio de Janeiro
